datetime,open,high,low,close,volume
2026-04-03 00:00:00,66868.6,66976.2,66671.0,66761.8,2723.057
2026-04-03 01:00:00,66761.8,66881.3,66450.0,66599.0,4087.425
2026-04-03 02:00:00,66599.1,66726.7,66240.0,66504.6,7272.397
2026-04-03 03:00:00,66504.6,66698.5,66461.0,66550.0,4129.956
2026-04-03 04:00:00,66550.1,66666.0,66468.0,66578.8,1744.992
2026-04-03 05:00:00,66578.8,66789.6,66375.1,66574.9,3463.985
2026-04-03 06:00:00,66574.9,66770.0,66523.2,66762.0,2064.989
2026-04-03 07:00:00,66762.1,67233.3,66716.4,67008.8,6199.006
2026-04-03 08:00:00,67008.8,67258.0,66864.1,66935.0,4767.938
2026-04-03 09:00:00,66935.1,66976.0,66714.3,66828.9,2763.018
2026-04-03 10:00:00,66828.9,66871.9,66644.0,66845.3,2217.705
2026-04-03 11:00:00,66845.3,67041.9,66790.6,66983.4,2737.691
2026-04-03 12:00:00,66983.5,67350.0,66605.9,66690.4,8947.233
2026-04-03 13:00:00,66690.4,66707.1,66478.5,66644.6,6171.178
2026-04-03 14:00:00,66644.6,66968.1,66600.0,66900.0,4449.791
2026-04-03 15:00:00,66899.9,66999.0,66778.9,66806.1,2790.32
2026-04-03 16:00:00,66806.0,67046.1,66800.0,66972.5,2190.628
2026-04-03 17:00:00,66972.5,67040.0,66714.1,66811.0,3190.914
2026-04-03 18:00:00,66811.0,66899.7,66746.9,66783.7,1313.064
2026-04-03 19:00:00,66783.6,66882.9,66740.6,66857.0,1227.27
2026-04-03 20:00:00,66857.0,66888.0,66800.0,66800.1,776.851
2026-04-03 21:00:00,66800.0,66946.3,66791.8,66929.5,1612.364
2026-04-03 22:00:00,66929.4,66943.0,66813.0,66860.0,1236.07
2026-04-03 23:00:00,66859.9,66930.0,66800.7,66930.0,1189.991
2026-04-04 00:00:00,66930.0,66935.3,66838.9,66863.4,939.228
2026-04-04 01:00:00,66863.4,66895.7,66795.8,66820.0,1195.529
2026-04-04 02:00:00,66820.0,66891.4,66773.3,66814.1,1049.257
2026-04-04 03:00:00,66814.0,66875.4,66798.8,66799.1,718.718
2026-04-04 04:00:00,66799.1,66840.0,66745.5,66833.5,802.699
2026-04-04 05:00:00,66833.5,66908.4,66817.8,66871.0,1487.395
2026-04-04 06:00:00,66871.0,67023.7,66871.0,66981.5,1922.566
2026-04-04 07:00:00,66981.5,67019.1,66904.0,66982.0,1794.695
2026-04-04 08:00:00,66982.1,67025.0,66874.5,66907.8,1638.621
2026-04-04 09:00:00,66907.8,66958.2,66882.1,66952.1,884.97
2026-04-04 10:00:00,66952.1,67150.3,66880.9,67139.1,2711.761
2026-04-04 11:00:00,67139.1,67223.8,67050.0,67128.9,2757.579
2026-04-04 12:00:00,67128.9,67152.5,67025.2,67062.0,1463.379
2026-04-04 13:00:00,67061.9,67245.3,67044.8,67170.0,2344.2
2026-04-04 14:00:00,67170.0,67193.3,67003.7,67177.6,4367.856
2026-04-04 15:00:00,67177.5,67554.5,67145.6,67357.3,8203.922
2026-04-04 16:00:00,67357.4,67500.0,67292.0,67335.2,5582.375
2026-04-04 17:00:00,67335.1,67386.0,67249.9,67302.3,1946.546
2026-04-04 18:00:00,67302.3,67350.0,67226.4,67265.7,1442.733
2026-04-04 19:00:00,67265.6,67523.8,67245.6,67262.7,2205.233
2026-04-04 20:00:00,67262.8,67269.4,67150.6,67240.2,1456.19
2026-04-04 21:00:00,67240.2,67452.7,67180.9,67325.0,1362.401
2026-04-04 22:00:00,67325.0,67438.7,67305.4,67368.9,1151.5
2026-04-04 23:00:00,67368.9,67371.4,67214.2,67271.0,1340.984
2026-04-05 00:00:00,67271.1,67279.2,67131.1,67177.0,1420.572
2026-04-05 01:00:00,67177.0,67200.0,67045.2,67060.6,1631.698
2026-04-05 02:00:00,67060.6,67154.0,66900.0,67144.3,3024.169
2026-04-05 03:00:00,67144.3,67166.9,67058.0,67113.5,827.213
2026-04-05 04:00:00,67113.4,67160.0,67034.8,67066.2,1007.637
2026-04-05 05:00:00,67066.3,67127.5,66822.8,66905.1,2325.371
2026-04-05 06:00:00,66905.2,66918.6,66575.5,66771.6,7701.988
2026-04-05 07:00:00,66771.6,66887.1,66685.3,66787.4,2881.334
2026-04-05 08:00:00,66787.4,66910.0,66782.1,66892.5,1538.0
2026-04-05 09:00:00,66892.6,67020.4,66862.3,66996.0,2024.531
2026-04-05 10:00:00,66996.1,67132.8,66928.1,67012.3,2032.778
2026-04-05 11:00:00,67012.4,67054.1,66934.4,66972.7,1308.905
2026-04-05 12:00:00,66972.7,66972.7,66650.0,66751.4,5228.659
2026-04-05 13:00:00,66751.5,66892.9,66666.0,66863.4,2779.283
2026-04-05 14:00:00,66863.5,66940.2,66783.1,66892.5,2313.054
2026-04-05 15:00:00,66892.6,67828.6,66792.6,67272.2,17243.801
2026-04-05 16:00:00,67272.2,67381.0,67132.2,67178.8,3833.608
2026-04-05 17:00:00,67178.9,67376.3,67150.0,67342.2,2318.157
2026-04-05 18:00:00,67342.2,67428.2,67246.6,67381.1,1759.782
2026-04-05 19:00:00,67381.2,67540.0,67250.0,67329.1,2721.463
2026-04-05 20:00:00,67329.1,67681.6,67302.4,67636.7,3902.447
2026-04-05 21:00:00,67636.7,67672.9,67377.2,67519.5,3003.776
2026-04-05 22:00:00,67519.5,68347.9,67313.6,68313.0,14605.362
2026-04-05 23:00:00,68313.0,69108.0,68232.0,68997.9,17484.581
2026-04-06 00:00:00,68997.9,69583.0,68997.9,69051.9,14169.018
2026-04-06 01:00:00,69051.9,69103.1,68761.0,68782.9,6282.17
2026-04-06 02:00:00,68782.9,69386.2,68740.2,69183.6,7133.971
2026-04-06 03:00:00,69183.6,69223.4,69026.6,69092.4,3887.373
2026-04-06 04:00:00,69092.3,69188.0,68943.3,69107.6,3311.978
2026-04-06 05:00:00,69107.6,69214.5,69052.0,69167.1,1991.853
2026-04-06 06:00:00,69167.0,69338.2,68769.6,68958.7,6473.617
2026-04-06 07:00:00,68958.8,69190.8,68800.0,69089.7,4997.301
2026-04-06 08:00:00,69089.8,69328.7,69047.7,69191.7,3993.886
2026-04-06 09:00:00,69191.7,70252.9,69180.0,69699.4,18431.974
2026-04-06 10:00:00,69699.4,69982.2,69666.0,69739.2,5348.035
2026-04-06 11:00:00,69739.2,69739.2,69524.0,69583.6,3764.749
2026-04-06 12:00:00,69583.5,69602.4,69283.0,69337.3,4709.786
2026-04-06 13:00:00,69337.4,69521.4,69200.1,69399.8,6493.035
2026-04-06 14:00:00,69399.7,69791.3,69088.0,69620.0,12807.333
2026-04-06 15:00:00,69620.0,69931.9,69490.0,69922.5,7526.043
2026-04-06 16:00:00,69922.4,70332.5,69737.6,69759.2,10741.826
2026-04-06 17:00:00,69759.2,69778.4,69240.0,69540.6,9573.939
2026-04-06 18:00:00,69540.6,69955.3,69436.4,69852.9,5050.802
2026-04-06 19:00:00,69852.8,69862.2,69543.8,69704.8,3330.826
2026-04-06 20:00:00,69704.8,69940.0,69578.0,69779.4,2833.907
2026-04-06 21:00:00,69779.5,69784.3,69400.0,69476.5,2367.163
2026-04-06 22:00:00,69476.5,69554.2,68777.0,68777.1,7405.076
2026-04-06 23:00:00,68777.0,68880.1,68227.5,68817.9,14131.575
2026-04-07 00:00:00,68817.9,69111.8,68682.7,68738.7,7076.461
2026-04-07 01:00:00,68738.6,68878.3,68291.0,68363.9,7228.844
2026-04-07 02:00:00,68363.9,68684.6,68241.9,68640.3,5150.666
2026-04-07 03:00:00,68640.3,68780.0,68586.5,68746.3,2875.385
2026-04-07 04:00:00,68746.4,68955.6,68510.5,68819.3,4248.648
2026-04-07 05:00:00,68819.2,68831.0,68577.6,68627.5,2555.837
2026-04-07 06:00:00,68627.4,68635.9,68400.6,68540.0,3505.289
2026-04-07 07:00:00,68539.9,68677.8,68470.0,68592.1,2041.225
2026-04-07 08:00:00,68592.0,68963.4,68570.7,68907.1,4642.324
2026-04-07 09:00:00,68907.1,69219.0,68900.0,69109.8,6058.021
2026-04-07 10:00:00,69109.9,69170.0,68151.8,68196.0,13660.183
2026-04-07 11:00:00,68196.1,68430.1,68033.0,68310.8,7993.096
2026-04-07 12:00:00,68310.7,68579.3,68039.8,68367.0,7657.761
2026-04-07 13:00:00,68366.9,68613.8,68168.0,68208.1,8543.123
2026-04-07 14:00:00,68208.1,68232.1,67741.0,67831.0,14376.041
2026-04-07 15:00:00,67831.1,68250.0,67711.0,68138.4,7962.196
2026-04-07 16:00:00,68138.5,68431.8,68049.9,68207.2,6229.966
2026-04-07 17:00:00,68207.2,68996.0,68164.5,68670.0,7980.601
2026-04-07 18:00:00,68670.1,68746.7,68318.1,68413.7,4727.513
2026-04-07 19:00:00,68413.7,69068.6,68315.3,68975.9,9428.713
2026-04-07 20:00:00,68975.9,69500.0,68975.9,69285.2,9691.622
2026-04-07 21:00:00,69285.3,70200.0,69273.3,69886.7,18637.709
2026-04-07 22:00:00,69886.7,71499.9,69886.6,71479.9,31964.577
2026-04-07 23:00:00,71479.9,72743.4,71155.0,71890.2,38592.446
2026-04-08 00:00:00,71890.2,72086.4,71505.2,71681.9,12154.36
2026-04-08 01:00:00,71681.9,71732.6,71416.9,71446.5,5646.636
2026-04-08 02:00:00,71446.5,71698.0,71186.0,71330.0,6209.708
2026-04-08 03:00:00,71329.9,71449.9,71231.3,71259.6,2746.993
2026-04-08 04:00:00,71259.7,71649.8,71250.0,71528.6,5039.55
2026-04-08 05:00:00,71528.6,71797.0,71516.3,71701.6,3933.249
2026-04-08 06:00:00,71701.5,71919.0,71539.2,71697.5,4019.369
2026-04-08 07:00:00,71697.4,71873.7,71551.8,71612.0,4017.693
2026-04-08 08:00:00,71612.1,71808.5,71612.0,71776.0,3116.268
2026-04-08 09:00:00,71776.0,71945.0,71555.3,71655.4,3363.095
2026-04-08 10:00:00,71655.4,71782.1,71415.3,71445.7,3263.796
2026-04-08 11:00:00,71445.7,71687.6,71367.0,71650.2,4717.931
2026-04-08 12:00:00,71650.2,72169.5,71542.6,72023.6,10583.578
2026-04-08 13:00:00,72023.6,72858.5,71460.1,71563.2,37732.505
2026-04-08 14:00:00,71563.2,71723.8,70671.6,70888.0,20733.852
2026-04-08 15:00:00,70888.0,71327.2,70796.4,71274.8,10170.443
2026-04-08 16:00:00,71274.9,71655.0,71218.9,71560.9,7730.29
2026-04-08 17:00:00,71561.0,71934.5,71447.4,71847.5,8262.334
2026-04-08 18:00:00,71847.5,71847.7,71035.8,71064.9,10227.962
2026-04-08 19:00:00,71064.9,71333.0,70980.0,71283.0,5944.079
2026-04-08 20:00:00,71283.0,71444.8,71226.0,71336.9,2304.428
2026-04-08 21:00:00,71337.0,71726.7,71293.2,71509.5,3112.217
2026-04-08 22:00:00,71509.6,71536.2,71024.2,71024.3,3942.192
2026-04-08 23:00:00,71024.2,71198.4,70850.9,71038.1,4405.964
2026-04-09 00:00:00,71038.2,71107.0,70622.9,70779.0,5843.19
2026-04-09 01:00:00,70779.0,70940.8,70428.0,70900.0,7732.073
2026-04-09 02:00:00,70899.9,71168.0,70777.0,71029.7,4609.518
2026-04-09 03:00:00,71029.6,71091.9,70818.0,70961.2,3009.072
2026-04-09 04:00:00,70961.2,70980.5,70700.0,70760.1,3066.357
2026-04-09 05:00:00,70760.1,71063.0,70666.0,70959.7,3706.321
2026-04-09 06:00:00,70959.6,71058.6,70780.1,70998.8,2557.88
2026-04-09 07:00:00,70998.8,71087.8,70913.5,70945.0,2671.884
2026-04-09 08:00:00,70945.0,71342.0,70831.9,71207.6,4857.915
2026-04-09 09:00:00,71207.5,71533.0,71060.9,71488.7,5655.474
2026-04-09 10:00:00,71488.7,71498.9,71234.7,71234.7,3102.242
2026-04-09 11:00:00,71234.7,71317.0,71007.8,71109.9,3694.561
2026-04-09 12:00:00,71109.9,71299.6,70978.8,71245.0,3685.525
2026-04-09 13:00:00,71244.9,71320.0,70590.0,70765.2,9043.698
2026-04-09 14:00:00,70765.2,71224.5,70470.2,71083.5,10350.748
2026-04-09 15:00:00,71083.4,72320.0,70887.8,72108.0,26071.831
2026-04-09 16:00:00,72108.0,72377.4,71688.8,72048.0,13698.746
2026-04-09 17:00:00,72048.1,72517.9,72028.2,72306.9,12725.975
2026-04-09 18:00:00,72307.0,72339.0,71705.0,71849.3,6911.03
2026-04-09 19:00:00,71849.3,72267.3,71701.3,72055.9,8541.443
2026-04-09 20:00:00,72055.8,72419.8,71945.0,72377.6,4197.604
2026-04-09 21:00:00,72377.6,72666.6,72102.5,72230.1,5983.887
2026-04-09 22:00:00,72230.2,73128.0,71911.1,71911.2,15253.827
2026-04-09 23:00:00,71911.1,71999.0,71539.9,71750.4,8835.656
2026-04-10 00:00:00,71750.4,71995.8,71546.0,71932.3,6397.971
2026-04-10 01:00:00,71932.3,72350.0,71620.6,72124.0,8235.607
2026-04-10 02:00:00,72124.0,72255.0,71882.3,71926.3,4051.442
2026-04-10 03:00:00,71926.2,71993.0,71770.5,71837.3,3030.935
2026-04-10 04:00:00,71837.3,72199.9,71781.9,72088.8,3096.039
2026-04-10 05:00:00,72088.8,72243.6,71973.8,72098.6,2811.713
2026-04-10 06:00:00,72098.4,72154.8,71759.0,71778.1,3516.103
2026-04-10 07:00:00,71778.1,71821.1,71382.1,71461.2,7061.726
2026-04-10 08:00:00,71461.2,71730.0,71395.0,71571.6,5531.598
2026-04-10 09:00:00,71571.6,71840.8,71555.8,71746.2,3388.617
2026-04-10 10:00:00,71746.1,71910.0,71658.8,71872.4,3363.748
2026-04-10 11:00:00,71872.5,72229.0,71861.5,72092.7,6834.269
2026-04-10 12:00:00,72092.8,72467.3,71960.5,72225.5,12107.361
2026-04-10 13:00:00,72225.4,72381.0,71868.5,72284.0,7453.352
2026-04-10 14:00:00,72283.9,73123.9,72209.8,72870.6,24555.643
2026-04-10 15:00:00,72870.6,73255.7,72309.5,72421.0,13827.109
2026-04-10 16:00:00,72421.1,73024.1,72350.0,72954.0,8170.92
2026-04-10 17:00:00,72954.0,73125.1,72750.0,73079.9,4994.395
2026-04-10 18:00:00,73079.9,73127.6,72830.7,73056.7,4415.006
2026-04-10 19:00:00,73056.7,73223.4,72850.5,73187.3,5777.684
2026-04-10 20:00:00,73187.4,73450.0,72995.8,73310.5,8258.764
2026-04-10 21:00:00,73310.5,73311.5,72883.7,73156.2,2777.08
2026-04-10 22:00:00,73156.2,73213.4,72669.1,72834.2,4476.923
2026-04-10 23:00:00,72834.2,72925.0,72744.1,72917.4,2435.661
2026-04-11 00:00:00,72917.4,72917.4,72730.8,72792.5,1856.28
2026-04-11 01:00:00,72792.5,72972.5,72615.0,72920.1,3067.207
2026-04-11 02:00:00,72920.1,73066.2,72872.6,72928.3,3039.481
2026-04-11 03:00:00,72928.2,73048.5,72769.4,72835.1,2161.031
2026-04-11 04:00:00,72835.1,72921.5,72633.5,72771.2,4560.284
2026-04-11 05:00:00,72771.3,72800.0,72631.0,72680.0,2073.16
2026-04-11 06:00:00,72680.0,72738.0,72566.4,72727.5,2678.317
2026-04-11 07:00:00,72727.5,72790.9,72630.0,72707.7,2594.582
2026-04-11 08:00:00,72707.8,72767.5,72595.0,72625.4,1952.428
2026-04-11 09:00:00,72625.4,72883.0,72580.0,72874.0,3161.384
2026-04-11 10:00:00,72874.1,72886.0,72723.2,72801.2,1747.576
2026-04-11 11:00:00,72801.3,72874.1,72781.4,72868.2,1252.593
2026-04-11 12:00:00,72868.2,72945.0,72760.3,72895.6,2157.533
2026-04-11 13:00:00,72895.6,72895.6,72451.9,72612.2,6262.79
2026-04-11 14:00:00,72612.3,72728.5,72560.4,72660.9,1953.307
2026-04-11 15:00:00,72660.8,72869.9,72638.8,72817.3,2043.715
2026-04-11 16:00:00,72817.3,73180.0,72775.3,72991.3,5048.943
2026-04-11 17:00:00,72991.3,73140.8,72900.1,73056.2,2137.239
2026-04-11 18:00:00,73056.2,73700.0,72990.2,73515.9,10134.865
2026-04-11 19:00:00,73515.9,73773.4,73400.4,73635.9,6313.742
2026-04-11 20:00:00,73635.9,73648.8,73183.5,73252.9,3776.169
2026-04-11 21:00:00,73252.8,73500.0,73155.0,73384.7,2632.347
2026-04-11 22:00:00,73384.7,73529.0,73183.4,73333.3,3102.654
2026-04-11 23:00:00,73333.3,73333.4,72861.2,73013.4,4462.043
2026-04-12 00:00:00,73013.4,73077.6,72817.4,73038.8,2584.79
2026-04-12 01:00:00,73038.7,73094.4,71259.0,71598.7,25394.345
2026-04-12 02:00:00,71598.7,72000.0,71302.0,71723.7,10553.114
2026-04-12 03:00:00,71723.7,71831.8,71556.3,71563.6,4636.933
2026-04-12 04:00:00,71563.6,71656.3,71407.7,71428.7,3979.59
2026-04-12 05:00:00,71428.7,71750.0,71369.7,71665.1,4332.298
2026-04-12 06:00:00,71665.0,71728.0,71602.0,71618.9,2011.767
2026-04-12 07:00:00,71618.8,71716.2,71541.4,71628.1,1699.934
2026-04-12 08:00:00,71628.2,71750.0,71555.0,71592.3,1973.322
2026-04-12 09:00:00,71592.4,71600.0,71461.7,71502.4,1676.216
2026-04-12 10:00:00,71502.3,71655.2,71309.7,71416.1,2947.051
2026-04-12 11:00:00,71416.1,71510.0,71384.3,71435.0,2223.504
2026-04-12 12:00:00,71435.0,71478.0,71000.0,71050.1,8813.353
2026-04-12 13:00:00,71050.0,71117.2,70818.7,70861.5,11631.888
2026-04-12 14:00:00,70861.4,71063.8,70655.6,70714.3,7906.214
2026-04-12 15:00:00,70714.3,70898.0,70566.5,70856.2,6590.007
2026-04-12 16:00:00,70856.1,70926.7,70777.0,70890.9,2601.419
2026-04-12 17:00:00,70890.8,71188.0,70853.1,71099.9,4177.012
2026-04-12 18:00:00,71100.0,71177.3,71010.0,71092.6,2607.767
2026-04-12 19:00:00,71092.5,71199.0,71034.6,71055.2,2131.614
2026-04-12 20:00:00,71055.2,71417.9,70920.4,71302.9,5128.901
2026-04-12 21:00:00,71302.8,71423.9,71110.3,71331.7,2565.008
2026-04-12 22:00:00,71331.4,71332.4,70458.2,70875.6,13082.45
2026-04-12 23:00:00,70875.5,70882.4,70533.0,70711.1,3574.492
2026-04-13 00:00:00,70711.2,71225.0,70574.0,71130.0,5326.491
2026-04-13 01:00:00,71129.9,71193.6,70990.7,71156.1,3835.131
2026-04-13 02:00:00,71156.0,71245.0,70941.4,71047.0,3419.461
2026-04-13 03:00:00,71047.0,71128.8,70874.4,70944.8,2551.518
2026-04-13 04:00:00,70944.8,71114.9,70812.7,70854.3,2218.709
2026-04-13 05:00:00,70854.4,70892.4,70627.9,70847.8,2818.291
2026-04-13 06:00:00,70847.7,71068.0,70843.7,70989.6,2518.392
2026-04-13 07:00:00,70989.7,71045.1,70640.3,70780.0,3837.005
2026-04-13 08:00:00,70780.1,70833.0,70517.3,70644.8,3558.489
2026-04-13 09:00:00,70644.9,70875.3,70634.9,70758.4,2639.981
2026-04-13 10:00:00,70758.3,70814.2,70643.5,70716.0,1970.778
2026-04-13 11:00:00,70716.0,70960.3,70700.3,70883.9,3104.39
2026-04-13 12:00:00,70883.9,71188.0,70722.3,71043.0,5697.803
2026-04-13 13:00:00,71043.0,71677.9,70780.0,71623.0,17540.464
2026-04-13 14:00:00,71623.0,72358.5,71326.3,72347.2,20806.65
2026-04-13 15:00:00,72347.1,72431.0,71600.1,71823.6,13405.348
2026-04-13 16:00:00,71823.6,72393.8,71629.5,72157.3,13649.973
2026-04-13 17:00:00,72157.4,72549.2,72015.5,72101.0,11559.413
2026-04-13 18:00:00,72100.9,72424.9,72000.0,72380.0,5777.54
2026-04-13 19:00:00,72380.1,73441.7,72248.5,73272.2,25327.444
2026-04-13 20:00:00,73272.1,73349.3,72953.3,73098.9,9281.046
2026-04-13 21:00:00,73098.8,73329.4,73026.7,73140.0,3643.338
2026-04-13 22:00:00,73140.0,74750.0,73130.0,74599.9,31775.073
2026-04-13 23:00:00,74600.0,74870.0,74367.6,74385.0,16766.791
2026-04-14 00:00:00,74384.9,74493.4,74057.7,74127.9,8218.546
2026-04-14 01:00:00,74127.9,74400.0,73946.9,74345.5,4810.747
2026-04-14 02:00:00,74345.5,74583.1,74236.1,74294.4,3853.264
2026-04-14 03:00:00,74294.5,74461.9,74212.8,74408.8,2768.526
2026-04-14 04:00:00,74408.8,74476.1,74316.9,74355.5,2265.702
2026-04-14 05:00:00,74355.5,74401.8,74112.2,74184.5,3115.487
2026-04-14 06:00:00,74184.5,74519.9,74184.5,74485.0,3312.115
2026-04-14 07:00:00,74485.1,74900.0,74395.6,74513.4,7521.321
2026-04-14 08:00:00,74513.3,74873.5,74419.1,74713.9,5411.496
2026-04-14 09:00:00,74714.0,74799.5,74403.1,74471.9,4221.747
2026-04-14 10:00:00,74471.9,74581.7,74300.0,74309.8,3610.194
2026-04-14 11:00:00,74309.8,74430.0,74267.2,74342.4,2981.975
2026-04-14 12:00:00,74342.4,74459.6,74234.0,74416.7,4585.221
2026-04-14 13:00:00,74416.7,75484.0,74366.0,75471.2,21163.234
2026-04-14 14:00:00,75471.1,76009.0,74964.7,74966.3,32074.453
2026-04-14 15:00:00,74966.3,75396.9,74514.1,75268.1,17275.135
2026-04-14 16:00:00,75268.1,75684.9,74450.0,74597.1,13496.273
2026-04-14 17:00:00,74597.2,74902.7,74200.2,74699.9,9405.722
2026-04-14 18:00:00,74699.9,74765.0,73789.7,74050.0,11823.288
2026-04-14 19:00:00,74049.9,74362.8,73833.5,74176.4,7221.741
2026-04-14 20:00:00,74176.5,74387.7,73960.0,74059.0,3417.497
2026-04-14 21:00:00,74058.9,74295.7,73903.8,74230.3,2657.168
2026-04-14 22:00:00,74230.3,74339.4,73766.8,73987.5,4679.75
2026-04-14 23:00:00,73987.6,74200.1,73961.3,74106.9,3370.888
2026-04-15 00:00:00,74106.9,74635.0,74085.0,74520.3,6386.687
2026-04-15 01:00:00,74520.3,74739.2,74450.8,74568.3,3793.236
2026-04-15 02:00:00,74568.3,74653.4,74142.7,74280.0,3803.95
2026-04-15 03:00:00,74280.0,74338.9,74123.6,74296.8,2219.931
2026-04-15 04:00:00,74296.8,74400.0,74211.3,74290.8,1828.487
2026-04-15 05:00:00,74290.7,74390.0,73822.6,73983.2,5600.465
2026-04-15 06:00:00,73983.1,74015.7,73822.0,73851.1,2724.877
2026-04-15 07:00:00,73851.0,73987.0,73449.0,73705.1,9147.153
2026-04-15 08:00:00,73705.2,74154.3,73640.1,74070.4,4910.157
2026-04-15 09:00:00,74070.4,74143.5,73868.0,73968.3,2961.195
2026-04-15 10:00:00,73968.3,74222.7,73750.0,73825.9,5354.748
2026-04-15 11:00:00,73825.9,74227.5,73825.9,74155.1,4233.263
2026-04-15 12:00:00,74155.0,74473.5,74001.1,74228.7,5486.241
2026-04-15 13:00:00,74228.8,74397.0,73769.5,74015.8,7645.902
2026-04-15 14:00:00,74015.9,74466.0,73776.5,74108.8,9303.464
2026-04-15 15:00:00,74108.8,74290.0,73540.0,73797.5,9855.922
2026-04-15 16:00:00,73797.5,74145.2,73714.9,73900.4,5052.861
2026-04-15 17:00:00,73900.3,74197.1,73873.8,74099.1,3734.784
2026-04-15 18:00:00,74099.0,74369.2,74028.0,74349.1,3731.718
2026-04-15 19:00:00,74349.1,75240.0,74311.9,74957.8,12055.2
2026-04-15 20:00:00,74957.7,74991.5,74466.5,74796.8,6702.826
2026-04-15 21:00:00,74796.7,74816.0,74498.6,74703.0,2535.824
2026-04-15 22:00:00,74703.1,75425.6,74696.0,74931.3,7850.458
2026-04-15 23:00:00,74931.3,74932.1,74579.0,74776.2,4110.422
2026-04-16 00:00:00,74776.3,74839.0,74400.0,74772.0,4289.958
2026-04-16 01:00:00,74772.1,74772.1,74415.0,74612.8,2427.54
2026-04-16 02:00:00,74612.8,75232.7,74556.7,74840.8,5925.41
2026-04-16 03:00:00,74840.7,75123.5,74825.1,74851.9,3008.342
2026-04-16 04:00:00,74851.9,75130.0,74675.4,74899.9,7685.073
2026-04-16 05:00:00,74900.0,75100.0,74852.4,75006.1,2772.243
2026-04-16 06:00:00,75006.0,75079.1,74801.8,74985.9,2797.074
2026-04-16 07:00:00,74985.9,75039.0,74590.3,74667.7,3790.884
2026-04-16 08:00:00,74667.7,74711.8,74466.9,74634.3,4804.128
2026-04-16 09:00:00,74634.2,74866.9,74550.0,74558.7,3450.627
2026-04-16 10:00:00,74558.6,74621.1,74226.2,74267.8,7078.903
2026-04-16 11:00:00,74267.7,74537.3,74234.9,74528.4,5244.012
2026-04-16 12:00:00,74528.4,74836.6,74524.7,74577.7,5712.038
2026-04-16 13:00:00,74577.8,74981.1,73256.8,73755.9,21382.008
2026-04-16 14:00:00,73756.0,74155.7,73388.0,73937.0,16481.072
2026-04-16 15:00:00,73936.8,74880.0,73900.0,74659.5,13140.692
2026-04-16 16:00:00,74659.5,74901.6,74007.6,74140.6,9530.226
2026-04-16 17:00:00,74140.6,74410.7,73873.5,74301.6,6691.907
2026-04-16 18:00:00,74301.6,75073.0,74202.0,75000.0,7853.12
2026-04-16 19:00:00,75000.1,75378.1,74711.0,75309.4,8837.111
2026-04-16 20:00:00,75309.5,75500.0,74964.6,75188.9,6256.538
2026-04-16 21:00:00,75189.0,75245.7,74736.5,74902.2,3984.835
2026-04-16 22:00:00,74902.3,75090.8,74787.7,74833.9,2612.399
2026-04-16 23:00:00,74833.9,75149.1,74800.0,75106.8,2641.585
2026-04-17 00:00:00,75106.8,75118.4,74848.4,74900.2,2958.114
2026-04-17 01:00:00,74900.2,74998.2,74532.9,74707.6,4650.303
2026-04-17 02:00:00,74707.7,74770.0,74480.0,74670.6,2338.74
2026-04-17 03:00:00,74670.5,74814.1,74558.9,74582.8,3160.293
2026-04-17 04:00:00,74582.8,74818.1,74550.0,74748.4,1846.248
2026-04-17 05:00:00,74748.3,74770.5,74508.2,74604.8,2378.041
2026-04-17 06:00:00,74604.8,74904.2,74559.7,74895.1,3090.866
2026-04-17 07:00:00,74895.2,75060.4,74892.7,75047.4,4376.71
2026-04-17 08:00:00,75047.4,75869.0,74951.6,75749.8,14296.9
2026-04-17 09:00:00,75749.8,76350.0,75463.2,75746.0,21235.691
2026-04-17 10:00:00,75746.1,75853.7,75030.2,75229.7,13662.049
2026-04-17 11:00:00,75229.6,75564.7,75195.7,75542.2,4279.613
2026-04-17 12:00:00,75542.1,76235.4,75481.8,76195.6,13125.431
2026-04-17 13:00:00,76195.7,77376.3,76006.7,77294.3,49562.355
2026-04-17 14:00:00,77294.2,77999.9,76951.1,77825.1,31429.916
2026-04-17 15:00:00,77825.1,77940.0,77389.0,77736.2,13716.929
2026-04-17 16:00:00,77736.2,78300.0,77660.0,77805.1,15584.467
2026-04-17 17:00:00,77805.1,77870.0,77042.0,77465.3,12363.466
2026-04-17 18:00:00,77465.3,77521.3,77028.4,77112.1,6498.194
2026-04-17 19:00:00,77112.0,77429.8,76921.9,77348.8,6106.231
2026-04-17 20:00:00,77349.2,77566.0,77111.0,77283.7,3754.339
2026-04-17 21:00:00,77283.7,77459.0,77228.6,77400.1,1994.375
2026-04-17 22:00:00,77400.0,77477.1,77222.1,77261.8,2677.99
2026-04-17 23:00:00,77261.9,77267.0,76854.2,77030.6,4308.654
2026-04-18 00:00:00,77030.6,77216.2,76931.0,77135.1,2853.47
2026-04-18 01:00:00,77135.2,77287.9,77072.7,77175.9,2416.708
2026-04-18 02:00:00,77175.9,77380.0,77085.6,77249.5,2121.763
2026-04-18 03:00:00,77249.6,77254.3,76903.2,76964.3,2495.093
2026-04-18 04:00:00,76964.4,77131.8,76824.1,77065.9,3532.251
2026-04-18 05:00:00,77065.8,77233.6,77063.5,77085.0,2162.711
2026-04-18 06:00:00,77085.1,77177.0,77008.0,77078.7,1684.268
2026-04-18 07:00:00,77078.7,77086.5,76826.8,76951.0,3315.779
